FID,    NpFeat,      NpMap,  M/F,   Angle,    Trans,    Tx,      Ty,    Tz,      qx,     qy,     qz,     qw  
014, 0000371811, 0008755500, 23.5, +5.88556, +0.14702, +0.075, -0.121, -0.037, +0.027, -0.037, -0.023, +0.999
015, 0000398264, 0009362815, 23.5, +6.33877, +0.13976, +0.087, -0.097, -0.050, +0.024, -0.042, -0.027, +0.998
016, 0000425540, 0009979715, 23.5, +7.37837, +0.15491, +0.096, -0.109, -0.054, +0.027, -0.050, -0.031, +0.998
017, 0000453115, 0010598845, 23.4, +8.04418, +0.16510, +0.100, -0.120, -0.055, +0.030, -0.056, -0.029, +0.998
018, 0000480046, 0011212055, 23.4, +8.27004, +0.16972, +0.097, -0.125, -0.061, +0.031, -0.056, -0.033, +0.997
019, 0000507574, 0011827950, 23.3, +8.22481, +0.15647, +0.093, -0.110, -0.062, +0.029, -0.059, -0.029, +0.997
020, 0000536069, 0012458045, 23.2, +8.73577, +0.16365, +0.104, -0.108, -0.064, +0.030, -0.063, -0.031, +0.997
021, 0000565008, 0013095460, 23.2, +9.94503, +0.19124, +0.127, -0.132, -0.056, +0.032, -0.071, -0.039, +0.996
022, 0000594710, 0013734005, 23.1, +10.79689, +0.21975, +0.141, -0.161, -0.047, +0.036, -0.076, -0.041, +0.996
023, 0000623950, 0014373345, 23.0, +11.21751, +0.24519, +0.160, -0.177, -0.058, +0.039, -0.077, -0.047, +0.995
024, 0000654334, 0015019770, 23.0, +12.23327, +0.24989, +0.139, -0.194, -0.073, +0.042, -0.086, -0.047, +0.994
025, 0000684691, 0015669275, 22.9, +13.42372, +0.31130, +0.161, -0.253, -0.083, +0.051, -0.088, -0.057, +0.993
026, 0000715024, 0016317045, 22.8, +13.58988, +0.34076, +0.190, -0.272, -0.077, +0.054, -0.088, -0.057, +0.993
027, 0000744940, 0016963330, 22.8, +14.29793, +0.36861, +0.189, -0.305, -0.085, +0.060, -0.091, -0.060, +0.992
028, 0000775128, 0017612595, 22.7, +15.00575, +0.31549, +0.130, -0.276, -0.079, +0.058, -0.104, -0.054, +0.991
029, 0000805733, 0018264960, 22.7, +14.78913, +0.30298, +0.152, -0.253, -0.068, +0.053, -0.102, -0.057, +0.992
030, 0000836101, 0018915985, 22.6, +15.26336, +0.28396, +0.147, -0.235, -0.061, +0.052, -0.109, -0.055, +0.991
031, 0000866627, 0019562920, 22.6, +15.47470, +0.31566, +0.162, -0.261, -0.072, +0.056, -0.108, -0.057, +0.991
032, 0000896802, 0020208710, 22.5, +15.62840, +0.30127, +0.146, -0.253, -0.075, +0.054, -0.111, -0.057, +0.991
033, 0000926974, 0020855210, 22.5, +15.62840, +0.30127, +0.146, -0.253, -0.075, +0.054, -0.111, -0.057, +0.991
034, 0000958066, 0021510045, 22.5, +15.99558, +0.27889, +0.137, -0.229, -0.080, +0.051, -0.116, -0.057, +0.990
035, 0000988535, 0022158900, 22.4, +16.21462, +0.29374, +0.155, -0.237, -0.079, +0.052, -0.116, -0.061, +0.990
036, 0001019032, 0022809430, 22.4, +16.94752, +0.31518, +0.170, -0.247, -0.098, +0.055, -0.118, -0.070, +0.989
037, 0001050678, 0023475685, 22.3, +18.02934, +0.31304, +0.159, -0.248, -0.106, +0.055, -0.132, -0.064, +0.988
038, 0001082411, 0024139155, 22.3, +18.61468, +0.33758, +0.200, -0.252, -0.102, +0.054, -0.135, -0.070, +0.987
039, 0001115590, 0024817420, 22.2, +20.80792, +0.29644, +0.122, -0.258, -0.079, +0.057, -0.156, -0.071, +0.984
040, 0001147299, 0025482745, 22.2, +20.23036, +0.31877, +0.175, -0.254, -0.080, +0.056, -0.150, -0.071, +0.984
041, 0001180466, 0026163905, 22.2, +21.12536, +0.34097, +0.163, -0.286, -0.089, +0.063, -0.154, -0.078, +0.983
042, 0001213862, 0026849905, 22.1, +21.39310, +0.29637, +0.156, -0.233, -0.096, +0.055, -0.159, -0.078, +0.983
043, 0001247390, 0027540125, 22.1, +21.26815, +0.31093, +0.189, -0.231, -0.088, +0.054, -0.158, -0.079, +0.983
044, 0001280862, 0028230045, 22.0, +21.89776, +0.31483, +0.201, -0.227, -0.085, +0.054, -0.162, -0.083, +0.982
045, 0001315180, 0028925085, 22.0, +22.43144, +0.32430, +0.217, -0.218, -0.101, +0.054, -0.167, -0.084, +0.981
046, 0001349121, 0029618735, 22.0, +23.15042, +0.32487, +0.229, -0.210, -0.094, +0.053, -0.171, -0.090, +0.980
047, 0001382954, 0030307085, 21.9, +23.69403, +0.31896, +0.217, -0.216, -0.089, +0.056, -0.175, -0.092, +0.979
048, 0001416232, 0030990585, 21.9, +23.62421, +0.32364, +0.220, -0.222, -0.084, +0.057, -0.174, -0.092, +0.979
049, 0001449829, 0031680235, 21.9, +23.81714, +0.31980, +0.215, -0.222, -0.083, +0.056, -0.175, -0.093, +0.978
050, 0001483494, 0032368830, 21.8, +23.97622, +0.31660, +0.217, -0.218, -0.077, +0.055, -0.177, -0.094, +0.978
051, 0001516945, 0033053265, 21.8, +24.14850, +0.33061, +0.231, -0.228, -0.062, +0.055, -0.178, -0.095, +0.978
052, 0001550047, 0033735885, 21.8, +23.95525, +0.33391, +0.239, -0.226, -0.059, +0.054, -0.177, -0.095, +0.978
053, 0001583523, 0034417725, 21.7, +24.03740, +0.33356, +0.241, -0.221, -0.065, +0.053, -0.178, -0.094, +0.978
054, 0001616747, 0035098165, 21.7, +24.33451, +0.32325, +0.241, -0.205, -0.067, +0.051, -0.180, -0.097, +0.978
055, 0001649908, 0035780900, 21.7, +24.28348, +0.32454, +0.244, -0.203, -0.067, +0.051, -0.180, -0.097, +0.978
056, 0001683357, 0036462395, 21.7, +24.23536, +0.35912, +0.258, -0.237, -0.080, +0.056, -0.179, -0.095, +0.978
057, 0001716380, 0037142650, 21.6, +24.61978, +0.34734, +0.251, -0.217, -0.102, +0.055, -0.181, -0.098, +0.977
058, 0001749347, 0037823375, 21.6, +24.79634, +0.34217, +0.243, -0.217, -0.104, +0.055, -0.182, -0.100, +0.977
059, 0001783116, 0038507510, 21.6, +24.56160, +0.35774, +0.269, -0.219, -0.088, +0.055, -0.180, -0.099, +0.977
060, 0001816923, 0039194360, 21.6, +24.76586, +0.35636, +0.262, -0.222, -0.097, +0.057, -0.181, -0.099, +0.977
061, 0001850930, 0039884725, 21.5, +24.49548, +0.33943, +0.271, -0.193, -0.070, +0.053, -0.180, -0.100, +0.977
062, 0001885478, 0040575575, 21.5, +25.07055, +0.36263, +0.233, -0.260, -0.099, +0.062, -0.186, -0.094, +0.976
063, 0001919723, 0041263995, 21.5, +25.31237, +0.33654, +0.234, -0.228, -0.082, +0.059, -0.186, -0.099, +0.976
064, 0001953848, 0041951925, 21.5, +25.07690, +0.33733, +0.250, -0.210, -0.083, +0.055, -0.185, -0.099, +0.976
065, 0001987703, 0042639590, 21.5, +24.70440, +0.33816, +0.272, -0.191, -0.061, +0.053, -0.182, -0.098, +0.977
066, 0002021686, 0043327920, 21.4, +25.17691, +0.33532, +0.250, -0.211, -0.074, +0.056, -0.186, -0.099, +0.976
067, 0002055344, 0044013285, 21.4, +25.04515, +0.35890, +0.270, -0.217, -0.094, +0.058, -0.185, -0.098, +0.976
068, 0002089467, 0044702750, 21.4, +25.32400, +0.34341, +0.254, -0.213, -0.090, +0.057, -0.187, -0.098, +0.976
