Num1, Num2, muSDF, gradLen,  gradX,  gradY,   gradZ 
1875, 0588, -0.0013, 0.8672, -0.0180, -0.1424, -0.0491
1878, 0576, -0.0013, 0.8709, -0.0305, -0.1190, -0.0530
1877, 0582, -0.0010, 0.8618, -0.0142, -0.1425, -0.0599
1880, 0594, -0.0009, 0.8498, -0.0225, -0.1508, -0.0540
1879, 0596, -0.0009, 0.8636, -0.0291, -0.1446, -0.0559
1879, 0582, -0.0009, 0.8629, -0.0288, -0.1352, -0.0606
1868, 0444, -0.0008, 0.8846, 0.0632, -0.0505, 0.0378
1866, 0442, -0.0005, 0.9079, 0.0433, -0.0490, 0.0295
1866, 0422, -0.0004, 0.9212, 0.0353, -0.0523, 0.0382
1867, 0422, -0.0006, 0.9278, 0.0195, -0.0569, 0.0305
1899, 0417, -0.0003, 0.9225, -0.0089, -0.0304, 0.0476
1900, 0444, -0.0005, 0.9045, 0.0130, -0.0442, 0.0368
1905, 0428, -0.0008, 0.9062, 0.0012, -0.0520, 0.0367
1907, 0436, -0.0012, 0.9078, 0.0216, -0.0351, 0.0241
1901, 0459, -0.0010, 0.8840, 0.0221, -0.0600, 0.0247
1907, 0473, -0.0005, 0.9084, 0.0184, -0.0469, 0.0181
1904, 0470, -0.0008, 0.9044, 0.0036, -0.0514, 0.0574
1810, 0482, -0.0005, 0.9418, 0.0039, 0.0281, 0.0680
1821, 0488, -0.0005, 0.9232, 0.0214, 0.0120, 0.0763
1826, 0473, -0.0006, 0.9586, 0.0563, 0.0003, 0.0718
1830, 0457, -0.0006, 0.9398, 0.0683, 0.0208, 0.0339
1835, 0435, -0.0004, 0.9726, 0.0408, -0.0135, 0.0569
1835, 0433, -0.0005, 0.9589, 0.0416, 0.0332, 0.0375
1834, 0430, -0.0006, 0.9623, 0.0194, 0.0090, 0.0376
1834, 0436, -0.0004, 0.9589, 0.0332, 0.0099, 0.0392
1835, 0403, -0.0004, 0.9559, 0.0153, 0.0059, 0.0652
1836, 0410, -0.0004, 0.9728, 0.0207, 0.0300, 0.0525
1822, 0401, -0.0003, 0.9409, 0.0036, 0.0270, 0.1369
1817, 0415, -0.0004, 0.9250, 0.0100, 0.0209, 0.1227
1817, 0427, -0.0005, 0.9237, -0.0069, 0.0290, 0.1235
1817, 0437, -0.0001, 0.9003, -0.0128, 0.0107, 0.1021
1816, 0445, 0.0001, 0.9164, 0.0041, 0.0872, 0.0921
1815, 0433, 0.0000, 0.9199, -0.0022, 0.0953, 0.0849
1815, 0434, -0.0002, 0.9185, -0.0271, 0.0705, 0.1116
1816, 0442, 0.0000, 0.9040, -0.0059, 0.0917, 0.0907
1815, 0438, -0.0000, 0.9339, -0.0160, 0.0796, 0.1115
1791, 0326, -0.0003, 0.9695, -0.0127, 0.0311, 0.0332
1805, 0348, -0.0006, 0.9258, -0.0078, -0.0242, -0.0008
1806, 0335, -0.0011, 0.9122, 0.0055, -0.0285, 0.0099
1804, 0340, -0.0010, 0.9037, -0.0196, -0.0168, 0.0035
1799, 0363, -0.0011, 0.9401, 0.0027, 0.0178, 0.0225
1798, 0349, -0.0011, 0.9432, -0.0218, 0.0349, 0.0344
1801, 0331, -0.0008, 0.9366, -0.0269, 0.0331, 0.0669
1808, 0358, -0.0016, 0.9328, 0.0209, 0.0154, 0.0259
1819, 0366, -0.0007, 0.9483, -0.0344, 0.0149, 0.0166
1821, 0357, -0.0009, 0.9522, -0.0158, -0.0105, -0.0148
1822, 0364, -0.0009, 0.9569, -0.0225, 0.0400, -0.0098
1820, 0368, -0.0009, 0.9683, -0.0104, 0.0248, 0.0207
1822, 0366, -0.0005, 0.9375, -0.0080, -0.0261, -0.0522
1822, 0353, -0.0007, 0.9425, 0.0089, -0.0120, -0.0119
1823, 0347, -0.0008, 0.9596, 0.0091, -0.0032, 0.0116
1823, 0362, -0.0006, 0.9422, -0.0283, 0.0056, -0.0074
1822, 0343, -0.0007, 0.9781, 0.0286, 0.0355, 0.0254
1825, 0345, -0.0010, 0.9222, 0.0292, 0.0100, 0.0194
1823, 0341, -0.0002, 0.9439, 0.0270, -0.0197, 0.0065
1823, 0356, -0.0006, 0.9316, 0.0296, 0.0248, 0.0320
1824, 0341, -0.0006, 0.9414, 0.0179, -0.0071, 0.0036
1825, 0340, -0.0006, 0.9569, 0.0254, 0.0160, 0.0373
1821, 0348, -0.0005, 0.9485, 0.0397, 0.0120, -0.0179
1822, 0350, -0.0003, 0.9536, 0.0512, 0.0584, 0.0195
1824, 0356, -0.0011, 0.9513, 0.0354, 0.0580, 0.0140
1827, 0350, -0.0005, 0.9650, 0.0198, 0.0266, 0.0347
1829, 0339, -0.0008, 0.9825, 0.0020, 0.0769, 0.0156
1831, 0355, -0.0008, 0.9694, 0.0174, 0.0212, 0.0244
1829, 0338, -0.0006, 0.9904, -0.0084, 0.0531, 0.0112
1833, 0344, -0.0010, 0.9883, 0.0086, 0.0382, 0.0229
1837, 0345, -0.0011, 0.9605, -0.0112, 0.0179, 0.0169
1832, 0342, -0.0009, 0.9784, -0.0253, 0.0408, 0.0225
1832, 0348, -0.0010, 0.9591, -0.0036, 0.0041, 0.0234
1831, 0328, -0.0005, 0.9625, -0.0097, -0.0024, 0.0035
1834, 0342, -0.0010, 0.9642, -0.0225, 0.0495, 0.0167
1832, 0325, -0.0005, 0.9820, 0.0188, 0.0090, 0.0526
1836, 0336, -0.0006, 0.9770, 0.0307, 0.0064, 0.0453
1835, 0323, -0.0010, 0.9727, 0.0284, -0.0296, 0.0346
1837, 0319, -0.0008, 1.0000, 0.0215, -0.0042, 0.0603
1839, 0305, -0.0010, 0.9816, 0.0487, -0.0133, 0.0446
1836, 0313, -0.0007, 0.9944, 0.0209, -0.0105, 0.0547
1836, 0300, -0.0010, 1.0095, 0.0296, 0.0053, 0.0169
1841, 0310, -0.0003, 1.0175, 0.0046, -0.0153, 0.0078
1838, 0322, -0.0002, 0.9607, -0.0051, 0.0075, -0.0079
1833, 0313, -0.0005, 0.9561, -0.0002, 0.0117, -0.0193
1835, 0313, -0.0007, 0.9453, 0.0293, 0.0269, 0.0261
1834, 0313, -0.0007, 0.9279, -0.0082, 0.0512, 0.0584
1825, 0306, -0.0006, 0.9521, -0.0088, 0.0323, 0.0669
1827, 0323, -0.0003, 0.9446, -0.0130, 0.0457, 0.0732
1828, 0307, -0.0007, 0.9543, 0.0011, 0.0579, 0.0733
1827, 0313, -0.0005, 0.9510, -0.0211, 0.0420, 0.0643
1827, 0317, -0.0005, 0.9629, -0.0319, 0.0392, 0.0477
1826, 0308, -0.0002, 0.9484, -0.0175, 0.0511, 0.0607
1860, 0325, -0.0004, 0.9266, 0.0064, 0.0706, 0.1758
1859, 0291, 0.0005, 0.9641, 0.0264, 0.0933, 0.1746
1860, 0295, 0.0005, 0.9720, 0.0252, 0.0610, 0.1705
1863, 0303, 0.0005, 0.9464, -0.0044, 0.0714, 0.1058
1864, 0311, 0.0002, 0.9225, 0.0072, 0.0912, 0.1649
1868, 0305, 0.0001, 0.9650, 0.0346, 0.0630, 0.1408
1868, 0280, -0.0000, 0.9558, 0.0281, 0.0767, 0.1309
1865, 0288, 0.0001, 0.9473, 0.0305, 0.0958, 0.1285
1867, 0297, 0.0001, 0.9773, 0.0258, 0.0750, 0.1165
1920, 0416, -0.0011, 0.9074, -0.0346, 0.1708, 0.1865
1965, 0360, -0.0007, 0.9570, -0.0103, 0.1523, 0.1910
1985, 0308, -0.0005, 0.9285, 0.0164, 0.1811, 0.2255
1997, 0299, 0.0000, 0.9451, 0.0044, 0.1652, 0.2014
1998, 0305, -0.0001, 0.9368, 0.0320, 0.1657, 0.2115
1998, 0325, 0.0002, 0.9284, 0.0031, 0.1589, 0.2210
2000, 0307, 0.0001, 0.9318, 0.0066, 0.1664, 0.1979
2004, 0314, -0.0000, 0.9525, 0.0120, 0.1399, 0.1818
2008, 0321, 0.0002, 0.9461, 0.0467, 0.1259, 0.1771
2008, 0309, 0.0000, 0.9406, 0.0068, 0.1434, 0.2048
2005, 0318, 0.0005, 0.9256, -0.0004, 0.1658, 0.1946
2007, 0308, 0.0005, 0.9703, -0.0057, 0.1582, 0.2230
2002, 0313, 0.0007, 0.9484, 0.0053, 0.1481, 0.2019
1884, 0379, -0.0029, 0.9250, -0.0140, 0.1901, 0.2799
1897, 0306, -0.0014, 0.9107, -0.0278, 0.1600, 0.2274
1902, 0295, -0.0006, 0.9371, -0.0057, 0.1398, 0.1738
1914, 0282, -0.0001, 0.9407, -0.0131, 0.1814, 0.1729
1924, 0245, -0.0005, 0.9508, -0.0245, 0.1536, 0.1590
1930, 0242, 0.0007, 0.9471, 0.0506, 0.1377, 0.1813
1934, 0242, 0.0007, 0.9295, 0.0222, 0.1025, 0.1664
1902, 0335, -0.0030, 0.9951, -0.0142, 0.1654, 0.2359
1910, 0274, -0.0023, 0.9862, -0.0213, 0.1530, 0.1892
1918, 0255, -0.0006, 1.0030, 0.0624, 0.1665, 0.1699
1939, 0258, -0.0002, 0.9689, 0.0157, 0.1042, 0.1978
1940, 0257, 0.0000, 0.9488, 0.0102, 0.0516, 0.1749
1939, 0258, 0.0001, 0.9735, 0.0273, 0.0901, 0.2029
1939, 0274, 0.0002, 0.9529, 0.0367, 0.1037, 0.1865
1938, 0259, 0.0002, 0.9776, 0.0583, 0.1095, 0.1681
1943, 0252, 0.0003, 0.9678, 0.0350, 0.0914, 0.1549
1943, 0259, 0.0007, 0.9527, 0.0442, 0.1067, 0.1660
1943, 0238, 0.0004, 0.9814, 0.0529, 0.1148, 0.1593
1947, 0262, 0.0005, 0.9587, 0.0456, 0.1269, 0.1392
1949, 0252, 0.0004, 0.9530, 0.0556, 0.1049, 0.1576
1948, 0237, 0.0004, 0.9589, 0.0760, 0.0917, 0.1275
1948, 0256, 0.0004, 0.9505, 0.0279, 0.0838, 0.1556
1948, 0241, 0.0005, 0.9602, 0.0554, 0.1404, 0.1337
1949, 0248, 0.0001, 0.9550, 0.0145, 0.0735, 0.1569
1999, 0254, -0.0029, 0.9829, 0.0129, 0.1256, 0.2055
2006, 0220, -0.0021, 0.9769, 0.0012, 0.1505, 0.1960
2011, 0204, -0.0015, 0.9432, -0.0552, 0.1689, 0.1841
2020, 0208, -0.0005, 0.9246, -0.0581, 0.0873, 0.1579
2021, 0185, -0.0008, 0.9352, -0.0737, 0.1232, 0.1895
2023, 0200, -0.0008, 0.9318, -0.0909, 0.1186, 0.1196
2015, 0200, -0.0009, 0.9652, -0.0529, 0.1190, 0.1567
2017, 0195, -0.0008, 0.9119, -0.0302, 0.1446, 0.1363
2016, 0200, -0.0010, 0.9576, -0.0054, 0.1923, 0.1961
2018, 0195, -0.0010, 0.9236, -0.0351, 0.1858, 0.1587
2017, 0204, -0.0009, 0.9260, 0.0108, 0.1707, 0.1882
2017, 0195, -0.0009, 0.9538, -0.0274, 0.1508, 0.1697
2017, 0203, -0.0011, 0.9254, -0.0009, 0.1795, 0.1732
2017, 0195, -0.0009, 0.9443, -0.0436, 0.1246, 0.1710
2016, 0207, -0.0007, 0.9352, -0.0361, 0.1424, 0.1406
2016, 0189, -0.0007, 0.9101, -0.0521, 0.1394, 0.1909
2017, 0194, -0.0010, 0.9513, 0.0170, 0.1465, 0.1757
2017, 0199, -0.0011, 0.9039, -0.0379, 0.1741, 0.1533
2015, 0197, -0.0011, 0.9699, -0.0175, 0.1719, 0.1528
2017, 0187, -0.0012, 0.9505, -0.0159, 0.1393, 0.1926
2017, 0194, -0.0006, 0.9229, -0.0509, 0.1255, 0.1791
2016, 0199, -0.0007, 0.9728, -0.0437, 0.1329, 0.1327
2015, 0204, -0.0007, 0.9372, -0.0090, 0.0972, 0.1641
2014, 0195, -0.0009, 0.9557, -0.0234, 0.1363, 0.1935
2015, 0191, -0.0007, 0.9199, -0.0582, 0.1516, 0.1832
2017, 0187, -0.0009, 0.9586, -0.0597, 0.1156, 0.1581
2016, 0192, -0.0007, 0.9205, -0.0477, 0.1402, 0.2093
2046, 0243, -0.0042, 0.9926, -0.0047, 0.2338, 0.3320
2058, 0225, -0.0017, 0.9980, 0.0405, 0.1044, 0.1818
2062, 0221, -0.0012, 0.9980, 0.0134, 0.0904, 0.1623
2063, 0226, -0.0009, 0.9146, -0.0307, 0.0472, 0.1459
2064, 0242, -0.0012, 0.9593, 0.0226, 0.0833, 0.1670
2065, 0236, -0.0006, 0.9174, 0.0064, 0.0628, 0.1462
2064, 0238, -0.0005, 0.9417, -0.0243, 0.0941, 0.1721
2065, 0232, -0.0000, 0.9634, -0.0566, 0.1025, 0.1673
2065, 0239, -0.0005, 0.9566, -0.0164, 0.0833, 0.1484
2065, 0221, -0.0003, 0.9287, 0.0145, 0.0868, 0.1864
2066, 0243, -0.0003, 0.9296, 0.0290, 0.0762, 0.1613
2064, 0221, -0.0002, 0.9485, -0.0182, 0.0858, 0.1700
2064, 0219, -0.0005, 0.9367, 0.0325, 0.1093, 0.1835
2063, 0233, -0.0006, 0.9917, 0.0299, 0.0571, 0.1292
2064, 0224, -0.0007, 0.9888, 0.0435, 0.0782, 0.1719
2063, 0219, -0.0009, 0.9490, 0.0392, 0.0701, 0.1662
2063, 0237, -0.0006, 0.9231, 0.0113, 0.0936, 0.1766
2065, 0231, -0.0001, 0.9074, -0.0020, 0.1276, 0.1798
2067, 0235, -0.0003, 0.9398, -0.0091, 0.1141, 0.1691
2069, 0223, -0.0006, 0.9522, 0.0212, 0.0877, 0.1596
2066, 0241, -0.0004, 0.9408, -0.0191, 0.0734, 0.1371
2062, 0222, -0.0002, 0.9417, 0.0308, 0.1016, 0.1653
2065, 0249, -0.0005, 0.9511, -0.0251, 0.0646, 0.1198
2063, 0220, -0.0003, 0.9343, 0.0076, 0.1240, 0.2012
2065, 0220, -0.0008, 0.9417, 0.0421, 0.0704, 0.1743
2063, 0231, -0.0003, 0.9732, 0.0318, 0.1122, 0.1623
2063, 0224, -0.0002, 0.9471, -0.0160, 0.0576, 0.1779
2062, 0224, -0.0001, 0.9289, 0.0163, 0.0640, 0.1702
2065, 0219, -0.0001, 0.9706, -0.0275, 0.1321, 0.1591
2066, 0219, -0.0004, 0.9364, 0.0305, 0.0951, 0.1900
2064, 0234, -0.0002, 0.9432, -0.0012, 0.0906, 0.1633
2065, 0221, -0.0006, 0.9722, 0.0334, 0.0831, 0.1393
2062, 0224, -0.0000, 0.9548, 0.0168, 0.1193, 0.1932
2061, 0209, 0.0000, 0.9476, 0.0060, 0.0970, 0.1658
2064, 0211, -0.0001, 0.9679, 0.0604, 0.0905, 0.1277
2062, 0225, -0.0002, 0.9489, 0.0106, 0.0728, 0.1819
2064, 0223, -0.0005, 0.9509, 0.0132, 0.1341, 0.1784
2064, 0229, -0.0004, 0.9343, 0.0020, 0.1019, 0.1740
2063, 0222, -0.0003, 0.9381, 0.0435, 0.0851, 0.1859
2062, 0237, -0.0002, 0.8903, 0.0001, 0.1089, 0.1963
2064, 0235, -0.0003, 0.9309, -0.0386, 0.1148, 0.1548
2065, 0232, -0.0001, 0.9155, -0.0276, 0.0909, 0.1675
2063, 0233, -0.0002, 0.9317, 0.0206, 0.0638, 0.1306
2066, 0235, -0.0003, 0.9190, -0.0093, 0.0950, 0.1578
2067, 0237, -0.0005, 0.9407, 0.0367, 0.0703, 0.1567
2061, 0237, -0.0002, 0.9197, -0.0002, 0.0754, 0.1458
2064, 0235, -0.0002, 0.9247, -0.0168, 0.0928, 0.2259
2068, 0235, -0.0003, 0.9291, 0.0020, 0.0844, 0.1491
2066, 0249, -0.0004, 0.9372, 0.0415, 0.0844, 0.1236
2064, 0224, -0.0003, 0.9415, -0.0133, 0.0917, 0.1952
2066, 0226, -0.0003, 0.9494, 0.0073, 0.0553, 0.1488
2068, 0224, -0.0005, 0.9475, 0.0288, 0.0716, 0.1634
2066, 0243, -0.0005, 0.9440, -0.0230, 0.0771, 0.1579
2063, 0230, -0.0002, 0.9363, -0.0094, 0.0759, 0.1825
2066, 0236, 0.0003, 0.9341, -0.0129, 0.1098, 0.1916
2068, 0235, -0.0003, 0.9308, -0.0171, 0.0619, 0.1182
2064, 0235, -0.0001, 0.9261, -0.0164, 0.1218, 0.2156
2067, 0235, -0.0005, 0.9534, -0.0068, 0.0914, 0.1369
2064, 0235, -0.0004, 0.9156, -0.0266, 0.0791, 0.1670
2065, 0231, -0.0005, 0.9625, 0.0220, 0.0997, 0.1704
2063, 0234, -0.0003, 0.9035, -0.0138, 0.0885, 0.1976
2063, 0219, -0.0004, 0.9256, 0.0308, 0.0924, 0.1753
2063, 0222, -0.0004, 0.9354, 0.0371, 0.1027, 0.1834
2066, 0220, -0.0004, 0.9443, -0.0010, 0.0615, 0.1541
2064, 0204, -0.0004, 0.9525, 0.0281, 0.0817, 0.1722
2067, 0220, -0.0012, 0.9880, 0.0418, 0.0970, 0.1332
2065, 0229, -0.0010, 0.9673, 0.0524, 0.0808, 0.1891
1967, 0239, -0.0019, 0.9507, 0.0331, 0.1770, 0.2148
1967, 0236, -0.0008, 0.9750, -0.0102, 0.1688, 0.2283
1968, 0229, -0.0003, 0.9654, -0.0419, 0.1371, 0.2176
1967, 0227, -0.0000, 0.9670, -0.0336, 0.1864, 0.2021
1969, 0248, 0.0004, 0.9234, -0.0221, 0.1147, 0.1396
1968, 0247, 0.0003, 0.9249, -0.0095, 0.1333, 0.2007
1969, 0268, 0.0006, 0.9255, -0.0168, 0.0837, 0.1591
1969, 0256, -0.0002, 0.9126, -0.0342, 0.1298, 0.1849
1967, 0270, -0.0002, 0.9049, -0.0319, 0.1221, 0.1863
1965, 0258, -0.0003, 0.9317, -0.0392, 0.1236, 0.2073
1964, 0273, -0.0002, 0.9245, -0.0294, 0.0889, 0.1675
1964, 0281, -0.0004, 0.9342, -0.0001, 0.0853, 0.1905
1961, 0282, 0.0000, 0.9410, 0.0448, 0.0977, 0.1539
1961, 0280, -0.0001, 0.9270, 0.0294, 0.1006, 0.1558
1963, 0277, 0.0002, 0.9169, 0.0227, 0.1012, 0.1813
1960, 0277, 0.0003, 0.9460, 0.0343, 0.0799, 0.1610
1961, 0286, 0.0004, 0.9141, 0.0437, 0.0881, 0.1485
1962, 0275, 0.0003, 0.9148, 0.0374, 0.1132, 0.1416
2102, 0289, -0.0010, 0.9366, 0.0089, 0.1557, 0.1847
2120, 0267, -0.0003, 0.9710, -0.0244, 0.1306, 0.1724
2128, 0262, 0.0001, 0.9555, -0.0071, 0.0927, 0.2106
2129, 0250, 0.0002, 0.9850, -0.0027, 0.1531, 0.2644
2127, 0264, 0.0005, 0.9460, -0.0094, 0.1352, 0.2299
2131, 0252, 0.0006, 0.9710, -0.0391, 0.1366, 0.2284
2083, 0242, -0.0009, 1.0204, 0.0529, 0.1381, 0.1416
2091, 0236, -0.0008, 0.9935, 0.0200, 0.1558, 0.1457
2094, 0232, -0.0007, 0.9801, 0.0184, 0.1357, 0.1128
2097, 0221, -0.0002, 0.9557, -0.0228, 0.1306, 0.1289
2095, 0249, -0.0001, 0.9567, -0.0292, 0.1185, 0.1343
2100, 0249, 0.0004, 0.9543, -0.0225, 0.1594, 0.1548
2102, 0247, 0.0002, 0.9770, 0.0114, 0.1294, 0.1672
2107, 0252, 0.0000, 0.9580, 0.0105, 0.1597, 0.1865
2110, 0254, -0.0001, 0.9517, 0.0265, 0.1383, 0.2133
2110, 0251, 0.0002, 0.9641, -0.0113, 0.1943, 0.2388
2110, 0250, -0.0000, 0.9749, 0.0132, 0.1768, 0.2529
2112, 0264, -0.0002, 0.9612, 0.0127, 0.1397, 0.2165
2109, 0255, 0.0003, 0.9208, -0.0115, 0.1493, 0.2357
2110, 0259, -0.0005, 0.9654, -0.0304, 0.1323, 0.1979
2108, 0261, -0.0002, 0.9714, -0.0212, 0.1530, 0.1981
2117, 0274, -0.0021, 0.9521, 0.0168, 0.1350, 0.2822
2116, 0279, -0.0009, 0.9416, -0.0108, 0.1719, 0.2055
2116, 0291, -0.0006, 0.9280, -0.0009, 0.1280, 0.1929
2112, 0287, 0.0001, 0.9917, 0.0129, 0.1303, 0.1351
2112, 0305, -0.0002, 0.9630, -0.0071, 0.1194, 0.1099
2117, 0309, 0.0001, 0.9776, 0.0007, 0.1396, 0.1549
2117, 0307, -0.0002, 0.9955, 0.0275, 0.1373, 0.1602
2116, 0310, -0.0001, 0.9537, -0.0029, 0.1607, 0.1430
2116, 0307, -0.0003, 0.9411, 0.0170, 0.1939, 0.1587
2115, 0313, -0.0003, 0.9485, -0.0013, 0.1382, 0.1358
2118, 0316, -0.0004, 0.9709, -0.0061, 0.1524, 0.1386
2115, 0299, -0.0000, 0.9300, -0.0043, 0.1988, 0.1679
2117, 0321, -0.0003, 0.9745, -0.0120, 0.1693, 0.1085
2115, 0316, -0.0003, 0.9455, -0.0114, 0.1641, 0.1242
2119, 0309, -0.0004, 0.9481, -0.0077, 0.1693, 0.1423
2118, 0303, -0.0002, 0.9662, -0.0106, 0.1528, 0.1295
2116, 0304, -0.0002, 0.9525, 0.0191, 0.1796, 0.1714
2119, 0300, -0.0003, 0.9813, -0.0289, 0.1537, 0.1535
2118, 0293, 0.0002, 0.9566, 0.0131, 0.1731, 0.1638
2119, 0309, -0.0005, 0.9534, 0.0043, 0.1425, 0.1494
2119, 0309, -0.0003, 0.9638, 0.0034, 0.1590, 0.1418
2118, 0305, -0.0000, 0.9556, 0.0329, 0.1439, 0.1498
2118, 0301, -0.0001, 0.9740, 0.0173, 0.1675, 0.1485
2116, 0289, 0.0001, 0.9359, 0.0318, 0.1677, 0.1661
2119, 0303, -0.0003, 0.9548, -0.0014, 0.1689, 0.1583
2119, 0299, -0.0001, 0.9625, 0.0205, 0.1663, 0.1671
2117, 0302, -0.0002, 0.9495, 0.0073, 0.1546, 0.1555
2116, 0302, -0.0001, 0.9664, 0.0311, 0.1639, 0.1586
2118, 0309, -0.0001, 0.9412, -0.0222, 0.1755, 0.1553
2117, 0298, 0.0001, 0.9747, 0.0189, 0.1673, 0.1567
2119, 0303, -0.0001, 0.9739, 0.0314, 0.1595, 0.1550
2119, 0303, 0.0001, 0.9469, 0.0103, 0.1785, 0.1764
2118, 0308, -0.0000, 0.9701, 0.0102, 0.1640, 0.1694
2116, 0294, 0.0002, 0.9537, -0.0037, 0.1760, 0.2089
2013, 0313, -0.0001, 0.9669, 0.0364, 0.0630, 0.0949
2024, 0276, -0.0005, 0.9508, -0.0030, 0.0487, 0.0891
2042, 0273, -0.0005, 0.9331, 0.0025, 0.1071, 0.1497
2041, 0286, 0.0000, 0.9479, -0.0051, 0.1212, 0.1665
2046, 0287, -0.0000, 0.9230, -0.0255, 0.0943, 0.1429
2045, 0294, 0.0001, 0.9321, 0.0024, 0.1026, 0.1153
2050, 0280, -0.0002, 0.9303, 0.0061, 0.0981, 0.1344
2051, 0287, -0.0000, 0.9380, 0.0376, 0.1156, 0.1281
2056, 0268, 0.0000, 0.9375, 0.0394, 0.1122, 0.0901
2055, 0280, 0.0002, 0.9238, 0.0176, 0.1133, 0.0930
2052, 0267, 0.0008, 0.9585, 0.0171, 0.1727, 0.1298
2052, 0271, 0.0005, 0.9369, 0.0104, 0.1383, 0.1214
2050, 0266, 0.0006, 0.9397, -0.0071, 0.1445, 0.1012
2050, 0274, 0.0004, 0.9263, -0.0211, 0.1005, 0.0772
1995, 0302, -0.0001, 0.9444, 0.0147, 0.1195, 0.1597
1996, 0293, -0.0003, 0.9590, 0.0024, 0.1157, 0.1473
2000, 0267, 0.0000, 0.9605, -0.0352, 0.1031, 0.1343
1999, 0257, -0.0002, 0.9533, 0.0096, 0.1172, 0.1530
1999, 0248, -0.0003, 0.9594, 0.0212, 0.1025, 0.1274
2001, 0243, -0.0004, 0.9638, 0.0164, 0.1320, 0.1386
2037, 0282, -0.0014, 1.0420, -0.0048, 0.0913, 0.2057
2039, 0273, -0.0013, 1.0046, 0.0124, 0.1449, 0.1517
2039, 0289, -0.0004, 0.9738, 0.0074, 0.0834, 0.1658
2037, 0285, -0.0002, 0.9925, 0.0162, 0.1323, 0.1750
2040, 0278, -0.0001, 0.9301, 0.0085, 0.1462, 0.1335
2036, 0281, 0.0005, 0.9637, -0.0169, 0.1887, 0.1344
2035, 0297, -0.0000, 0.9440, -0.0153, 0.1484, 0.1418
