FID,    NpFeat,      NpMap,  M/F,   Angle,    Trans,    Tx,      Ty,    Tz,      qx,     qy,     qz,     qw  
049, 0000246373, 0008485180, 34.4, +35.73436, +0.53440, -0.418, -0.247, +0.223, +0.057, +0.236, +0.188, +0.952
050, 0000250347, 0008621315, 34.4, +35.44039, +0.54822, -0.423, -0.264, +0.228, +0.059, +0.234, +0.185, +0.953
051, 0000254251, 0008755740, 34.4, +35.41690, +0.56409, -0.433, -0.277, +0.233, +0.063, +0.230, +0.189, +0.953
052, 0000258151, 0008888870, 34.4, +35.19072, +0.56757, -0.433, -0.283, +0.233, +0.062, +0.228, +0.189, +0.953
053, 0000262049, 0009022075, 34.4, +34.39888, +0.60106, -0.452, -0.312, +0.244, +0.069, +0.221, +0.184, +0.955
054, 0000265918, 0009154545, 34.4, +34.61961, +0.59299, -0.440, -0.320, +0.236, +0.071, +0.221, +0.186, +0.955
055, 0000269705, 0009284575, 34.4, +34.20086, +0.60940, -0.443, -0.344, +0.237, +0.076, +0.219, +0.181, +0.956
056, 0000273426, 0009412170, 34.4, +33.29898, +0.61827, -0.450, -0.352, +0.236, +0.076, +0.216, +0.173, +0.958
057, 0000277172, 0009541490, 34.4, +32.77761, +0.62530, -0.455, -0.362, +0.231, +0.075, +0.215, +0.166, +0.959
058, 0000280754, 0009667075, 34.4, +31.50479, +0.64201, -0.455, -0.388, +0.233, +0.074, +0.212, +0.153, +0.962
059, 0000284284, 0009790515, 34.4, +30.38956, +0.67727, -0.486, -0.401, +0.248, +0.072, +0.201, +0.151, +0.965
060, 0000287810, 0009912665, 34.4, +29.23469, +0.69123, -0.496, -0.412, +0.248, +0.064, +0.203, +0.135, +0.968
061, 0000291082, 0010028430, 34.5, +28.06045, +0.69303, -0.505, -0.412, +0.237, +0.055, +0.199, +0.128, +0.970
062, 0000294340, 0010145315, 34.5, +27.16532, +0.70027, -0.506, -0.422, +0.237, +0.050, +0.195, +0.121, +0.972
063, 0000297568, 0010259735, 34.5, +27.68029, +0.67690, -0.472, -0.429, +0.227, +0.051, +0.205, +0.112, +0.971
064, 0000300806, 0010375190, 34.5, +26.86096, +0.68128, -0.482, -0.423, +0.232, +0.042, +0.204, +0.102, +0.973
065, 0000304048, 0010491570, 34.5, +26.29641, +0.69300, -0.491, -0.429, +0.234, +0.041, +0.204, +0.091, +0.974
066, 0000307497, 0010613050, 34.5, +27.52121, +0.68549, -0.470, -0.443, +0.230, +0.043, +0.215, +0.092, +0.971
067, 0000311095, 0010740965, 34.5, +28.18219, +0.67572, -0.454, -0.444, +0.232, +0.043, +0.223, +0.087, +0.970
068, 0000314797, 0010870130, 34.5, +27.14247, +0.70208, -0.472, -0.455, +0.251, +0.040, +0.219, +0.074, +0.972
069, 0000318568, 0011003040, 34.5, +27.48257, +0.69614, -0.458, -0.464, +0.243, +0.045, +0.225, +0.062, +0.971
070, 0000322458, 0011139330, 34.5, +27.06916, +0.70596, -0.473, -0.456, +0.258, +0.044, +0.221, +0.062, +0.972
071, 0000326433, 0011276065, 34.5, +26.46666, +0.74666, -0.499, -0.475, +0.288, +0.056, +0.211, +0.070, +0.973
072, 0000330305, 0011411635, 34.5, +26.51003, +0.74782, -0.500, -0.475, +0.289, +0.056, +0.212, +0.067, +0.973
073, 0000334380, 0011551685, 34.5, +26.99885, +0.74842, -0.489, -0.485, +0.293, +0.064, +0.212, +0.073, +0.972
074, 0000338583, 0011694805, 34.5, +27.03447, +0.76996, -0.499, -0.496, +0.312, +0.075, +0.205, +0.083, +0.972
075, 0000342753, 0011838650, 34.5, +26.88955, +0.77690, -0.511, -0.488, +0.323, +0.074, +0.205, +0.081, +0.973
076, 0000347043, 0011985975, 34.5, +26.94300, +0.77673, -0.513, -0.473, +0.341, +0.071, +0.205, +0.086, +0.972
077, 0000351311, 0012134365, 34.5, +26.73154, +0.78533, -0.526, -0.468, +0.347, +0.071, +0.204, +0.082, +0.973
078, 0000355726, 0012283735, 34.5, +26.69964, +0.78682, -0.532, -0.451, +0.365, +0.065, +0.202, +0.091, +0.973
079, 0000360073, 0012432310, 34.5, +26.46898, +0.79121, -0.532, -0.457, +0.367, +0.064, +0.202, +0.087, +0.973
080, 0000364376, 0012582430, 34.5, +26.35300, +0.80265, -0.539, -0.467, +0.368, +0.064, +0.199, +0.091, +0.974
081, 0000368570, 0012728585, 34.5, +25.35432, +0.81675, -0.555, -0.463, +0.380, +0.053, +0.189, +0.098, +0.976
082, 0000372536, 0012870990, 34.5, +25.56639, +0.82615, -0.569, -0.456, +0.388, +0.048, +0.187, +0.109, +0.975
083, 0000376458, 0013010605, 34.6, +25.04364, +0.84104, -0.578, -0.464, +0.398, +0.048, +0.182, +0.107, +0.976
084, 0000380441, 0013153690, 34.6, +24.86261, +0.83163, -0.580, -0.440, +0.402, +0.039, +0.184, +0.105, +0.977
085, 0000384444, 0013297655, 34.6, +28.67747, +0.78332, -0.503, -0.453, +0.395, +0.056, +0.194, +0.143, +0.969
086, 0000388470, 0013442385, 34.6, +28.67702, +0.78245, -0.508, -0.447, +0.393, +0.063, +0.187, +0.150, +0.969
087, 0000392381, 0013584265, 34.6, +27.48997, +0.79911, -0.523, -0.455, +0.398, +0.065, +0.177, +0.144, +0.971
088, 0000396137, 0013724055, 34.6, +27.54089, +0.80166, -0.531, -0.450, +0.398, +0.066, +0.175, +0.147, +0.971
089, 0000399873, 0013863140, 34.7, +26.62437, +0.78913, -0.525, -0.434, +0.399, +0.068, +0.167, +0.143, +0.973
090, 0000403574, 0014001105, 34.7, +24.74783, +0.82132, -0.558, -0.445, +0.407, +0.075, +0.153, +0.131, +0.977
091, 0000407155, 0014136840, 34.7, +22.08552, +0.83574, -0.587, -0.428, +0.414, +0.069, +0.130, +0.122, +0.981
092, 0000410741, 0014272555, 34.7, +21.53632, +0.84772, -0.593, -0.448, +0.407, +0.082, +0.126, +0.111, +0.982
093, 0000414393, 0014407835, 34.8, +21.86996, +0.84350, -0.585, -0.451, +0.407, +0.084, +0.128, +0.112, +0.982
094, 0000417941, 0014541240, 34.8, +21.76760, +0.83466, -0.588, -0.448, +0.387, +0.080, +0.132, +0.108, +0.982
095, 0000421368, 0014670440, 34.8, +20.91480, +0.84874, -0.611, -0.444, +0.388, +0.071, +0.130, +0.105, +0.983
096, 0000424758, 0014796905, 34.8, +20.71297, +0.85205, -0.617, -0.448, +0.379, +0.070, +0.128, +0.104, +0.984
097, 0000428088, 0014922120, 34.9, +20.21924, +0.86731, -0.639, -0.454, +0.371, +0.075, +0.123, +0.100, +0.984
098, 0000431262, 0015043510, 34.9, +19.45397, +0.88007, -0.646, -0.473, +0.365, +0.068, +0.120, +0.097, +0.986
099, 0000434315, 0015159535, 34.9, +16.43226, +0.89741, -0.683, -0.460, +0.357, +0.049, +0.107, +0.081, +0.990
100, 0000437276, 0015272010, 34.9, +15.07847, +0.92843, -0.721, -0.462, +0.359, +0.048, +0.099, +0.072, +0.991
101, 0000440175, 0015383080, 34.9, +14.18253, +0.93150, -0.729, -0.462, +0.350, +0.042, +0.100, +0.059, +0.992
102, 0000442978, 0015490515, 35.0, +11.98158, +0.98269, -0.793, -0.460, +0.355, +0.031, +0.086, +0.049, +0.995
103, 0000445751, 0015598105, 35.0, +12.32003, +0.97359, -0.790, -0.451, +0.347, +0.030, +0.095, +0.040, +0.994
104, 0000448502, 0015704715, 35.0, +13.79776, +0.97501, -0.788, -0.468, +0.332, +0.037, +0.104, +0.048, +0.993
105, 0000451090, 0015806115, 35.0, +13.82811, +0.98474, -0.791, -0.489, +0.324, +0.035, +0.106, +0.045, +0.993
106, 0000453686, 0015905605, 35.1, +11.54927, +0.99906, -0.822, -0.470, +0.318, +0.026, +0.093, +0.027, +0.995
107, 0000456249, 0016004255, 35.1, +10.47617, +0.99657, -0.835, -0.449, +0.308, +0.022, +0.086, +0.020, +0.996
108, 0000458754, 0016100570, 35.1, +10.19198, +1.00234, -0.832, -0.472, +0.299, +0.027, +0.084, +0.012, +0.996
109, 0000461095, 0016192440, 35.1, +10.35953, +0.99699, -0.831, -0.472, +0.283, +0.022, +0.084, +0.023, +0.996
110, 0000463463, 0016282840, 35.1, +10.47099, +1.00313, -0.839, -0.472, +0.280, +0.019, +0.087, +0.019, +0.996
111, 0000465771, 0016372250, 35.2, +9.43703, +1.02708, -0.861, -0.482, +0.285, +0.016, +0.080, +0.010, +0.997
112, 0000467957, 0016457120, 35.2, +8.94356, +1.01883, -0.869, -0.453, +0.278, +0.002, +0.076, +0.015, +0.997
113, 0000470105, 0016541200, 35.2, +7.57784, +1.04336, -0.902, -0.443, +0.282, -0.004, +0.065, +0.009, +0.998
114, 0000472264, 0016626225, 35.2, +6.01366, +1.07433, -0.928, -0.459, +0.285, +0.000, +0.052, -0.007, +0.999
115, 0000474469, 0016713000, 35.2, +5.80184, +1.07725, -0.934, -0.452, +0.288, -0.002, +0.048, -0.016, +0.999
116, 0000476667, 0016799770, 35.2, +4.78962, +1.09530, -0.949, -0.457, +0.301, -0.005, +0.039, -0.014, +0.999
117, 0000478843, 0016886495, 35.3, +4.40344, +1.12043, -0.980, -0.446, +0.310, -0.010, +0.024, -0.028, +0.999
118, 0000481113, 0016977205, 35.3, +4.74136, +1.11096, -0.972, -0.436, +0.314, -0.004, +0.027, -0.031, +0.999
119, 0000483510, 0017072030, 35.3, +5.17907, +1.14566, -1.008, -0.430, +0.334, -0.008, +0.008, -0.044, +0.999
120, 0000485928, 0017168290, 35.3, +5.19577, +1.17284, -1.032, -0.435, +0.348, -0.006, -0.005, -0.045, +0.999
121, 0000488470, 0017268295, 35.4, +7.03508, +1.16693, -1.027, -0.425, +0.355, -0.003, -0.018, -0.058, +0.998
122, 0000491119, 0017371025, 35.4, +7.16067, +1.17014, -1.022, -0.439, +0.364, +0.009, -0.018, -0.059, +0.998
123, 0000493839, 0017475595, 35.4, +8.56887, +1.19064, -1.039, -0.443, +0.375, +0.012, -0.019, -0.071, +0.997
124, 0000496638, 0017585075, 35.4, +8.05184, +1.19042, -1.036, -0.446, +0.381, +0.017, -0.016, -0.066, +0.998
125, 0000499529, 0017697235, 35.4, +8.50293, +1.20096, -1.038, -0.454, +0.400, +0.019, -0.017, -0.070, +0.997
126, 0000502608, 0017814195, 35.4, +9.28315, +1.20966, -1.037, -0.463, +0.417, +0.025, -0.016, -0.075, +0.997
127, 0000505841, 0017935510, 35.5, +9.14546, +1.22449, -1.050, -0.459, +0.432, +0.028, -0.019, -0.072, +0.997
128, 0000509149, 0018059430, 35.5, +9.81394, +1.24843, -1.069, -0.469, +0.444, +0.032, -0.024, -0.076, +0.996
129, 0000512558, 0018185775, 35.5, +10.37995, +1.26145, -1.083, -0.465, +0.450, +0.034, -0.028, -0.079, +0.996
130, 0000515943, 0018312300, 35.5, +10.97637, +1.26878, -1.092, -0.460, +0.453, +0.031, -0.031, -0.085, +0.995
131, 0000519373, 0018441110, 35.5, +11.08358, +1.29567, -1.124, -0.441, +0.471, +0.021, -0.036, -0.087, +0.995
132, 0000522994, 0018574765, 35.5, +10.61697, +1.31047, -1.144, -0.422, +0.481, +0.021, -0.037, -0.082, +0.996
133, 0000526685, 0018713860, 35.5, +9.85732, +1.31636, -1.147, -0.414, +0.496, +0.022, -0.038, -0.074, +0.996
134, 0000530883, 0018864900, 35.5, +10.46907, +1.32269, -1.146, -0.425, +0.506, +0.036, -0.043, -0.072, +0.996
135, 0000535389, 0019022660, 35.5, +10.95580, +1.34717, -1.172, -0.415, +0.518, +0.036, -0.053, -0.071, +0.995
136, 0000540220, 0019188560, 35.5, +11.44864, +1.36542, -1.192, -0.406, +0.529, +0.039, -0.062, -0.067, +0.995
137, 0000545556, 0019366735, 35.5, +13.11568, +1.38883, -1.220, -0.400, +0.530, +0.054, -0.068, -0.074, +0.993
138, 0000551158, 0019550570, 35.5, +14.15862, +1.40863, -1.249, -0.375, +0.532, +0.058, -0.073, -0.080, +0.992
139, 0000556975, 0019740075, 35.4, +14.58880, +1.40976, -1.252, -0.359, +0.540, +0.061, -0.071, -0.085, +0.992
140, 0000563167, 0019937630, 35.4, +15.25869, +1.42103, -1.270, -0.341, +0.540, +0.068, -0.075, -0.086, +0.991
141, 0000569698, 0020142075, 35.4, +17.03267, +1.46490, -1.315, -0.359, +0.536, +0.081, -0.085, -0.090, +0.989
142, 0000576197, 0020343295, 35.3, +17.02315, +1.45239, -1.302, -0.360, +0.534, +0.083, -0.086, -0.088, +0.989
143, 0000582642, 0020542780, 35.3, +18.33139, +1.48771, -1.351, -0.347, +0.518, +0.082, -0.096, -0.097, +0.987
144, 0000589209, 0020746100, 35.2, +18.14765, +1.49107, -1.358, -0.332, +0.520, +0.080, -0.098, -0.095, +0.987
145, 0000595661, 0020946880, 35.2, +18.60119, +1.51563, -1.383, -0.348, +0.513, +0.082, -0.100, -0.097, +0.987
146, 0000601821, 0021142590, 35.1, +18.68469, +1.53389, -1.412, -0.334, +0.497, +0.074, -0.100, -0.104, +0.987
147, 0000607720, 0021331975, 35.1, +17.59979, +1.52208, -1.408, -0.302, +0.494, +0.064, -0.095, -0.102, +0.988
148, 0000613810, 0021527165, 35.1, +17.72276, +1.54692, -1.437, -0.307, +0.483, +0.075, -0.093, -0.097, +0.988
149, 0000619890, 0021722015, 35.0, +17.85079, +1.55177, -1.456, -0.270, +0.464, +0.071, -0.091, -0.104, +0.988
150, 0000626184, 0021920180, 35.0, +17.93065, +1.56076, -1.476, -0.232, +0.450, +0.071, -0.088, -0.107, +0.988
151, 0000632811, 0022125970, 35.0, +18.44049, +1.56092, -1.482, -0.227, +0.435, +0.083, -0.086, -0.106, +0.987
152, 0000639513, 0022330725, 34.9, +19.76795, +1.58072, -1.508, -0.220, +0.420, +0.093, -0.087, -0.115, +0.985
153, 0000646488, 0022542145, 34.9, +21.81489, +1.58884, -1.524, -0.214, +0.395, +0.104, -0.092, -0.128, +0.982
154, 0000653690, 0022768690, 34.8, +24.09836, +1.59808, -1.537, -0.213, +0.383, +0.126, -0.106, -0.129, +0.978
155, 0000661181, 0022998225, 34.8, +25.99262, +1.59727, -1.539, -0.230, +0.361, +0.150, -0.114, -0.124, +0.974
156, 0000668662, 0023227470, 34.7, +27.34371, +1.59950, -1.540, -0.250, +0.351, +0.161, -0.118, -0.127, +0.972
157, 0000676231, 0023458830, 34.7, +28.34004, +1.60933, -1.557, -0.244, +0.326, +0.171, -0.130, -0.117, +0.970
158, 0000683610, 0023685730, 34.6, +28.68713, +1.61708, -1.570, -0.244, +0.303, +0.176, -0.134, -0.112, +0.969
159, 0000690729, 0023905955, 34.6, +28.66994, +1.61889, -1.575, -0.264, +0.265, +0.177, -0.132, -0.113, +0.969
160, 0000697557, 0024119545, 34.6, +27.25587, +1.62596, -1.589, -0.247, +0.241, +0.168, -0.124, -0.108, +0.972
161, 0000704111, 0024323610, 34.5, +25.02902, +1.60341, -1.569, -0.237, +0.232, +0.163, -0.106, -0.096, +0.976
162, 0000710847, 0024531780, 34.5, +24.13190, +1.60221, -1.569, -0.239, +0.220, +0.167, -0.094, -0.084, +0.978
163, 0000717506, 0024737710, 34.5, +22.70027, +1.60539, -1.575, -0.240, +0.197, +0.167, -0.079, -0.068, +0.980
164, 0000723912, 0024934145, 34.4, +21.51913, +1.61332, -1.584, -0.245, +0.187, +0.161, -0.071, -0.064, +0.982
165, 0000730415, 0025130265, 34.4, +21.41855, +1.62475, -1.598, -0.239, +0.173, +0.161, -0.069, -0.063, +0.983
166, 0000736813, 0025324840, 34.4, +21.61077, +1.62028, -1.595, -0.232, +0.165, +0.166, -0.068, -0.055, +0.982
167, 0000743165, 0025519225, 34.3, +21.80779, +1.60971, -1.585, -0.235, +0.154, +0.167, -0.070, -0.056, +0.982
168, 0000749333, 0025708790, 34.3, +21.94010, +1.62552, -1.602, -0.233, +0.147, +0.160, -0.077, -0.068, +0.982
169, 0000755238, 0025893365, 34.3, +22.20642, +1.62625, -1.606, -0.209, +0.143, +0.156, -0.081, -0.078, +0.981
170, 0000761473, 0026085645, 34.3, +23.34921, +1.65456, -1.637, -0.200, +0.131, +0.167, -0.086, -0.076, +0.979
171, 0000767968, 0026287530, 34.2, +23.87124, +1.66974, -1.655, -0.185, +0.128, +0.173, -0.076, -0.085, +0.978
172, 0000774971, 0026507395, 34.2, +24.85592, +1.68502, -1.672, -0.177, +0.110, +0.185, -0.061, -0.091, +0.977
173, 0000782430, 0026741545, 34.2, +25.74768, +1.72760, -1.717, -0.173, +0.087, +0.198, -0.043, -0.093, +0.975
174, 0000790166, 0026979555, 34.1, +25.93992, +1.73793, -1.729, -0.154, +0.075, +0.204, -0.018, -0.092, +0.974
175, 0000798486, 0027226250, 34.1, +27.35284, +1.77195, -1.766, -0.140, +0.042, +0.213, +0.010, -0.102, +0.972
176, 0000806682, 0027467200, 34.0, +27.95663, +1.77406, -1.767, -0.150, +0.029, +0.216, +0.015, -0.107, +0.970
177, 0000814345, 0027699990, 34.0, +28.21591, +1.77090, -1.765, -0.147, +0.012, +0.214, +0.005, -0.116, +0.970
178, 0000821540, 0027920865, 34.0, +29.26173, +1.77432, -1.767, -0.158, +0.007, +0.211, -0.010, -0.138, +0.968
179, 0000828306, 0028131945, 34.0, +31.84493, +1.78840, -1.780, -0.176, -0.004, +0.219, -0.032, -0.162, +0.962
180, 0000834904, 0028337140, 33.9, +34.42192, +1.80167, -1.791, -0.198, -0.001, +0.216, -0.051, -0.195, +0.955
181, 0000840772, 0028523860, 33.9, +37.47335, +1.79761, -1.785, -0.213, +0.011, +0.206, -0.080, -0.233, +0.947
182, 0000846120, 0028695805, 33.9, +42.69329, +1.84035, -1.825, -0.237, +0.010, +0.202, -0.118, -0.279, +0.931
183, 0000850808, 0028852075, 33.9, +46.13065, +1.83744, -1.820, -0.251, +0.016, +0.195, -0.139, -0.310, +0.920
184, 0000854924, 0028992665, 33.9, +49.20787, +1.84966, -1.829, -0.279, +0.004, +0.187, -0.152, -0.340, +0.909
185, 0000858410, 0029113960, 33.9, +54.09252, +1.89985, -1.881, -0.269, -0.007, +0.184, -0.170, -0.379, +0.891
186, 0000861689, 0029227750, 33.9, +54.75357, +1.90551, -1.886, -0.272, +0.012, +0.174, -0.175, -0.388, +0.888
187, 0000864698, 0029333605, 33.9, +56.07033, +1.91002, -1.891, -0.267, +0.007, +0.170, -0.174, -0.402, +0.883
188, 0000867736, 0029440715, 33.9, +56.65271, +1.92315, -1.904, -0.270, +0.006, +0.172, -0.181, -0.404, +0.880
189, 0000870450, 0029539895, 33.9, +56.62819, +1.93684, -1.918, -0.271, +0.005, +0.163, -0.193, -0.401, +0.880
190, 0000873080, 0029634205, 33.9, +57.27019, +1.94836, -1.930, -0.270, +0.002, +0.160, -0.203, -0.404, +0.878
191, 0000875836, 0029730795, 33.9, +57.68911, +1.95900, -1.941, -0.264, +0.007, +0.160, -0.209, -0.404, +0.876
192, 0000878706, 0029831370, 33.9, +57.04903, +1.95222, -1.937, -0.244, +0.010, +0.159, -0.202, -0.402, +0.879
193, 0000881744, 0029937160, 34.0, +56.99587, +1.96513, -1.952, -0.227, +0.013, +0.156, -0.202, -0.403, +0.879
194, 0000884927, 0030047790, 34.0, +56.01250, +1.98561, -1.972, -0.234, +0.002, +0.155, -0.205, -0.393, +0.883
195, 0000888259, 0030162855, 34.0, +55.35730, +1.97090, -1.960, -0.208, -0.002, +0.146, -0.196, -0.395, +0.886
196, 0000891595, 0030279575, 34.0, +56.57473, +2.00554, -1.998, -0.172, -0.012, +0.144, -0.205, -0.402, +0.881
197, 0000895113, 0030401430, 34.0, +56.83579, +2.02133, -2.013, -0.179, -0.020, +0.149, -0.202, -0.404, +0.879
198, 0000898644, 0030523825, 34.0, +57.03225, +2.02214, -2.016, -0.157, -0.017, +0.141, -0.199, -0.410, +0.879
199, 0000902174, 0030648485, 34.0, +57.18575, +2.02586, -2.020, -0.147, -0.029, +0.141, -0.198, -0.413, +0.878
200, 0000905869, 0030776920, 34.0, +58.03890, +2.04138, -2.038, -0.110, -0.033, +0.138, -0.204, -0.418, +0.874
201, 0000909875, 0030915130, 34.0, +58.34057, +2.05515, -2.052, -0.104, -0.033, +0.140, -0.197, -0.423, +0.873
202, 0000914042, 0031060330, 34.0, +59.15858, +2.04568, -2.043, -0.103, -0.034, +0.145, -0.189, -0.432, +0.870
203, 0000918498, 0031214385, 34.0, +60.77746, +2.09700, -2.095, -0.068, -0.061, +0.154, -0.193, -0.442, +0.863
204, 0000923121, 0031371460, 34.0, +60.83014, +2.09866, -2.097, -0.043, -0.072, +0.152, -0.188, -0.445, +0.862
205, 0000927586, 0031525325, 34.0, +61.40697, +2.11316, -2.111, -0.045, -0.075, +0.155, -0.189, -0.448, +0.860
206, 0000932194, 0031682330, 34.0, +60.51652, +2.09405, -2.092, -0.038, -0.072, +0.155, -0.192, -0.439, +0.864
207, 0000936687, 0031838525, 34.0, +61.75685, +2.09048, -2.089, -0.026, -0.073, +0.153, -0.197, -0.449, +0.858
208, 0000941063, 0031992315, 34.0, +61.85897, +2.07485, -2.074, -0.007, -0.068, +0.149, -0.202, -0.448, +0.858
209, 0000945327, 0032143565, 34.0, +62.12386, +2.05731, -2.056, -0.005, -0.069, +0.146, -0.207, -0.450, +0.857
