#timestamp tx ty tz qx qy qz qw 
1305031454.538424 -0.437 -0.137 0.228 0.105 0.177 0.167 0.964
1305031454.570323 -0.447 -0.153 0.234 0.104 0.181 0.182 0.961
1305031454.602019 -0.433 -0.137 0.215 0.101 0.190 0.203 0.955
1305031454.639284 -0.445 -0.137 0.222 0.099 0.201 0.223 0.949
1305031454.669573 -0.455 -0.155 0.226 0.097 0.210 0.232 0.945
1305031454.70203 -0.464 -0.152 0.227 0.086 0.221 0.239 0.942
1305031454.740764 -0.472 -0.166 0.230 0.083 0.236 0.245 0.937
1305031454.772865 -0.453 -0.164 0.220 0.078 0.247 0.243 0.935
1305031454.802574 -0.439 -0.183 0.214 0.081 0.254 0.245 0.932
1305031454.8405 -0.438 -0.191 0.216 0.076 0.255 0.237 0.934
1305031454.870269 -0.429 -0.189 0.212 0.066 0.256 0.224 0.938
1305031454.901065 -0.446 -0.212 0.222 0.069 0.251 0.217 0.941
1305031454.94024 -0.435 -0.223 0.225 0.065 0.243 0.210 0.945
1305031454.973081 -0.427 -0.244 0.231 0.061 0.236 0.197 0.950
1305031455.010759 -0.418 -0.247 0.223 0.057 0.236 0.188 0.952
1305031455.040446 -0.423 -0.264 0.228 0.059 0.234 0.185 0.953
1305031455.074282 -0.433 -0.277 0.233 0.063 0.230 0.189 0.953
1305031455.11034 -0.433 -0.283 0.233 0.062 0.228 0.189 0.953
1305031455.1427 -0.452 -0.312 0.244 0.069 0.221 0.184 0.955
1305031455.172771 -0.440 -0.320 0.236 0.071 0.221 0.186 0.955
1305031455.210307 -0.443 -0.344 0.237 0.076 0.219 0.181 0.956
1305031455.24096 -0.450 -0.352 0.236 0.076 0.216 0.173 0.958
1305031455.273001 -0.455 -0.362 0.231 0.075 0.215 0.166 0.959
1305031455.310303 -0.455 -0.388 0.233 0.074 0.212 0.153 0.962
1305031455.342381 -0.486 -0.401 0.248 0.072 0.201 0.151 0.965
1305031455.37412 -0.496 -0.412 0.248 0.064 0.203 0.135 0.968
1305031455.409213 -0.505 -0.412 0.237 0.055 0.199 0.128 0.970
1305031455.44238 -0.506 -0.422 0.237 0.050 0.195 0.121 0.972
1305031455.473168 -0.472 -0.429 0.227 0.051 0.205 0.112 0.971
1305031455.509397 -0.482 -0.423 0.232 0.042 0.204 0.102 0.973
1305031455.540835 -0.491 -0.429 0.234 0.041 0.204 0.091 0.974
1305031455.572996 -0.470 -0.443 0.230 0.043 0.215 0.092 0.971
1305031455.608802 -0.454 -0.444 0.232 0.043 0.223 0.087 0.970
1305031455.641333 -0.472 -0.455 0.251 0.040 0.219 0.074 0.972
1305031455.672887 -0.458 -0.464 0.243 0.045 0.225 0.062 0.971
1305031455.70768 -0.473 -0.456 0.258 0.044 0.221 0.062 0.972
1305031455.742005 -0.499 -0.475 0.288 0.056 0.211 0.070 0.973
1305031455.773667 -0.500 -0.475 0.289 0.056 0.212 0.067 0.973
1305031455.809109 -0.489 -0.485 0.293 0.064 0.212 0.073 0.972
1305031455.838364 -0.499 -0.496 0.312 0.075 0.205 0.083 0.972
1305031455.87222 -0.511 -0.488 0.323 0.074 0.205 0.081 0.973
1305031455.908418 -0.513 -0.473 0.341 0.071 0.205 0.086 0.972
1305031455.939606 -0.526 -0.468 0.347 0.071 0.204 0.082 0.973
1305031455.973594 -0.532 -0.451 0.365 0.065 0.202 0.091 0.973
1305031456.008998 -0.532 -0.457 0.367 0.064 0.202 0.087 0.973
1305031456.04193 -0.539 -0.467 0.368 0.064 0.199 0.091 0.974
1305031456.073846 -0.555 -0.463 0.380 0.053 0.189 0.098 0.976
1305031456.108963 -0.569 -0.456 0.388 0.048 0.187 0.109 0.975
1305031456.140836 -0.578 -0.464 0.398 0.048 0.182 0.107 0.976
1305031456.173198 -0.580 -0.440 0.402 0.039 0.184 0.105 0.977
1305031456.208934 -0.503 -0.453 0.395 0.056 0.194 0.143 0.969
1305031456.240996 -0.508 -0.447 0.393 0.063 0.187 0.150 0.969
1305031456.277928 -0.523 -0.455 0.398 0.065 0.177 0.144 0.971
1305031456.31004 -0.531 -0.450 0.398 0.066 0.175 0.147 0.971
1305031456.341659 -0.525 -0.434 0.399 0.068 0.167 0.143 0.973
1305031456.377115 -0.558 -0.445 0.407 0.075 0.153 0.131 0.977
1305031456.409172 -0.587 -0.428 0.414 0.069 0.130 0.122 0.981
1305031456.440717 -0.593 -0.448 0.407 0.082 0.126 0.111 0.982
1305031456.476027 -0.585 -0.451 0.407 0.084 0.128 0.112 0.982
1305031456.508911 -0.588 -0.448 0.387 0.080 0.132 0.108 0.982
1305031456.541832 -0.611 -0.444 0.388 0.071 0.130 0.105 0.983
1305031456.576087 -0.617 -0.448 0.379 0.070 0.128 0.104 0.984
1305031456.60793 -0.639 -0.454 0.371 0.075 0.123 0.100 0.984
1305031456.640699 -0.646 -0.473 0.365 0.068 0.120 0.097 0.986
